date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:24:33	88041/88041	---M-Z	200	added ('OK')	text/html	etag:%22157e9-5f6dd42e-907f602e533d6fff;gz%22	https://pixydrops.com/ziston/index.html	C:/Users/Admin/Desktop/Ziston/pixydrops.com/ziston/index.html	(from )
00:24:34	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-652d59d8-b36d9866d6282000;gz%22	https://pixydrops.com/robots.txt		(from )
00:24:35	13840/13840	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Oct%202024%2019:24:34%20GMT	https://pixydrops.com/ziston/assets/images/favicons/apple-touch-icon.png	C:/Users/Admin/Desktop/Ziston/pixydrops.com/ziston/assets/images/favicons/apple-touch-icon.png	(from https://pixydrops.com/ziston/index.html)
00:24:36	1500/1500	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Oct%202024%2019:24:35%20GMT	https://pixydrops.com/ziston/assets/images/favicons/favicon-32x32.png	C:/Users/Admin/Desktop/Ziston/pixydrops.com/ziston/assets/images/favicons/favicon-32x32.png	(from https://pixydrops.com/ziston/index.html)
00:24:37	688/688	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Oct%202024%2019:24:36%20GMT	https://pixydrops.com/ziston/assets/images/favicons/favicon-16x16.png	C:/Users/Admin/Desktop/Ziston/pixydrops.com/ziston/assets/images/favicons/favicon-16x16.png	(from https://pixydrops.com/ziston/index.html)
00:24:38	263/263	---M--	200	added ('OK')	text/plain	etag:%22107-5f62236c-66b87a5aaef61f0c;;;%22	https://pixydrops.com/ziston/assets/images/favicons/site.webmanifest	C:/Users/Admin/Desktop/Ziston/pixydrops.com/ziston/assets/images/favicons/site.webmanifest	(from https://pixydrops.com/ziston/index.html)
00:24:38	2428/2428	---MC-	200	added ('OK')	text/css	date:Wed,%2030%20Oct%202024%2019:24:37%20GMT	https://fonts.googleapis.com/css2?family=Barlow:ital,wght@0,300;0,400;0,500;0,600;0,700;0,800;1,300;1,400;1,500;1,600;1,700;1,800&display=swap	C:/Users/Admin/Desktop/Ziston/fonts.googleapis.com/css23c03.css	(from https://pixydrops.com/ziston/index.html)
00:24:39	211/211	---MC-	200	added ('OK')	text/css	date:Wed,%2030%20Oct%202024%2019:24:38%20GMT	https://fonts.googleapis.com/css2?family=Sacramento&display=swap	C:/Users/Admin/Desktop/Ziston/fonts.googleapis.com/css2f426.css	(from https://pixydrops.com/ziston/index.html)
00:24:40	83884/83884	---M-Z	200	added ('OK')	text/css	etag:%22147ac-5da856e8-333b91425859d3a9;gz%22	https://pixydrops.com/ziston/assets/css/animate.min.css	C:/Users/Admin/Desktop/Ziston/pixydrops.com/ziston/assets/css/animate.min.css	(from https://pixydrops.com/ziston/index.html)
00:24:41	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%222606e-5d667058-8db2a071e5f7013c;gz%22	https://pixydrops.com/ziston/assets/css/bootstrap.min.css	C:/Users/Admin/Desktop/Ziston/pixydrops.com/ziston/assets/css/bootstrap.min.css	(from https://pixydrops.com/ziston/index.html)
00:24:42	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-5dcee1e4-98a7b518b8b3d56f;gz%22	https://pixydrops.com/ziston/assets/css/owl.carousel.min.css	C:/Users/Admin/Desktop/Ziston/pixydrops.com/ziston/assets/css/owl.carousel.min.css	(from https://pixydrops.com/ziston/index.html)
00:24:43	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-5dcee1ee-cbff9b377f013b55;gz%22	https://pixydrops.com/ziston/assets/css/owl.theme.default.min.css	C:/Users/Admin/Desktop/Ziston/pixydrops.com/ziston/assets/css/owl.theme.default.min.css	(from https://pixydrops.com/ziston/index.html)
00:24:44	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5db03690-f1da455b17f4d837;gz%22	https://pixydrops.com/ziston/assets/css/magnific-popup.css	C:/Users/Admin/Desktop/Ziston/pixydrops.com/ziston/assets/css/magnific-popup.css	(from https://pixydrops.com/ziston/index.html)
00:24:45	57126/57126	---M-Z	200	added ('OK')	text/css	etag:%22df26-5e2dc04c-bc0a380404ea8cb5;gz%22	https://pixydrops.com/ziston/assets/css/fontawesome-all.min.css	C:/Users/Admin/Desktop/Ziston/pixydrops.com/ziston/assets/css/fontawesome-all.min.css	(from https://pixydrops.com/ziston/index.html)
